품목코드,품명,로트번호,제품라인,제조일자,상태,통번호,통용량,현재위치
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,3,0.0,소진
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,4,0.0,소진
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,5,0.0,소진
3TFDMSK-003,아누아 아젤라익애씨드 시카 세럼 데일리 마스크＿벌크,2E049K,etc.,2025-11-10,잔량,6,380.0,6층-A1
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E001K,etc.,2025-11-03,잔량,1,30.0,6층-A1
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E001K,etc.,2025-11-03,잔량,2,40.0,6층-A1
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E011K,etc.,2025-11-04,잔량,1,255.0,6층-A1
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E011K,etc.,2025-11-04,잔량,2,60.0,6층-A1
3VTCLOS-060,VT 리들샷 페이셜 리페어 EGF 에센스(다이소)_벌크,2E055K,페이셜,2025-11-11,생산 中,1,560.0,6층-A1
3VTCLOS-010,VT 마일드 리들 S 50 Dr.VT_벌크,2E053K,etc.,2025-11-11,생산대기,1,290.0,2층-A1
3VTCLOS-024,VT 리들샷 300 페이셜부스팅 퍼스트앰플(VT 300 리들샷 스틱파우치)_벌크,2E051K,페이셜,2025-11-10,생산대기,1,560.0,2층-A1
3VTCLOS-023,VT 리들샷 100 페이셜부스팅 퍼스트앰플(VT 100 리들샷 스틱파우치)_벌크,2E048K,페이셜,2025-11-10,생산 中,1,560.0,6층-A1
3VTCMSK-001,시카 데일리 수딩 마스크,2E054K,etc.,2025-11-11,외주,1,920.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E054K,etc.,2025-11-11,외주,2,900.0,외주
3VTCMSK-001,시카 데일리 수딩 마스크,2E054K,etc.,2025-11-11,외주,3,900.0,외주
