품목코드,품명,로트번호,제품라인,제조일자,상태,통번호,통용량,현재위치
3BMNESS-001,달바 화이트 트러플 더블 마스크팩[진정/보습]_세럼,2E191F,etc.,2025-06-19,잔량,2,190.0,창고
3OLIESS-008,성분에디터 실크펩타이드 인텐시브 리프팅앰플_벌크,2E101J,etc.,2025-10-22,외주,1,660.0,외주
3VTCLOS-259,국문_RE_리들샷 포 맨 올인원_150ml_1ea_올리브영_벌크,2E182I,etc.,2025-09-19,잔량,1,0.0,소진
3VTCLOS-259,국문_RE_리들샷 포 맨 올인원_150ml_1ea_올리브영_벌크,2E182I,etc.,2025-09-19,잔량,2,645.0,5층-A1
3ABTMKR-001,파파레서피 가지 클리어링 퓨어 워터리 클렌징 오일_벌크,2E214F,etc.,2025-06-20,잔량,1,180.0,6층-A1
3VTCLOS-060,VT 리들샷 페이셜 리페어 EGF 에센스(다이소)_벌크,2E147I,페이셜,2025-09-16,잔량,1,120.0,창고
3VTCLOS-060,VT 리들샷 페이셜 리페어 EGF 에센스(다이소)_벌크,2E026A,페이셜,2025-01-07,생산대기,1,160.0,2층-A1
3VTCLOS-060,VT 리들샷 페이셜 리페어 EGF 에센스(다이소)_벌크,2E032K,페이셜,2025-11-05,생산대기,1,200.0,2층-A1
3OLIOIL-001,그린토마토 딥 포어 더블 클렌징 앰플 오일_벌크,2E286F,etc.,2025-06-26,잔량,2,186.0,2층-A1
3VTCCLN-018,일문_RI_라이스 워시오프팩_170g_1ea_돈키호테_벌크,2E243I,etc.,2025-09-25,잔량,3,182.0,5층-A1
3VTCMSK-081,국문_CI_시카 캡슐 마스크(3매입)(1049289)_다이소_7.5g_3ea_벌크,2E287I,etc.,2025-09-30,생산대기,1,750.0,4층-A1
3OLISKN-004,성분에디터 딥 콜라겐 베리어 세럼 미스트_유상_벌크,2E201I,etc.,2025-09-22,잔량,1,26.0,2층-A1
3OLISKN-004,성분에디터 딥 콜라겐 베리어 세럼 미스트_유상_벌크,2E124I,etc.,2025-09-13,잔량,2,40.0,창고
3OLILOS-005,성분에디터 레드어성초바하리노트러블릴리프수딩크림_벌크,2E081J,etc.,2025-10-20,잔량,1,34.0,5층-A1
3VTCLOS-007,"VT 리들샷 300, VT 리들샷 300 스틱파우치(10EA)_벌크",2E013K,리들샷,2025-11-04,생산대기,1,50.0,2층-A1
3VTCLOS-007,"VT 리들샷 300, VT 리들샷 300 스틱파우치(10EA)_벌크",2E080J,리들샷,2025-10-20,외주,1,100.0,외주
3VTCLOS-007,"VT 리들샷 300, VT 리들샷 300 스틱파우치(10EA)_벌크",2E205G,리들샷,2025-07-15,잔량,1,290.0,6층-A1
3VTCLOS-007,"VT 리들샷 300, VT 리들샷 300 스틱파우치(10EA)_벌크",2E346G,리들샷,2025-07-28,생산대기,1,100.0,2층-A1
3VTCESS-007,VT 100 레티-에이 리들샷 스틱파우치(10EA)_벌크,2E222I,etc.,2025-09-23,잔량,1,270.0,창고
3VTCLOS-083,VT 리들S 피디알엔 플러스 세럼_벌크,2E204F,etc.,2025-06-20,잔량,1,200.0,창고
3VTCLOS-083,VT 리들S 피디알엔 플러스 세럼_벌크,2E132J,etc.,2025-10-27,생산대기,1,500.0,2층-A1
3VTCLOS-083,VT 리들S 피디알엔 플러스 세럼_벌크,2E132J,etc.,2025-10-27,생산대기,2,530.0,2층-A1
3VTCCLN-017,브이티 라이스 마스크 클렌저_벌크,2E087H,etc.,2025-08-12,생산대기,1,580.0,2층-A1
3VTCCLN-017,브이티 라이스 마스크 클렌저_벌크,2E072H,etc.,2025-08-11,생산대기,1,210.0,2층-A1
3VTCCLN-017,브이티 라이스 마스크 클렌저_벌크,2E086H,etc.,2025-08-12,생산대기,1,580.0,2층-A1
3VTCLOS-063,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플(다이소)_벌크,2E006K,페이셜,2025-11-03,생산대기,1,500.0,2층-A1
3VTCLOS-063,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플(다이소)_벌크,2E016I,페이셜,2025-09-02,외주,1,500.0,외주
3VTCLOS-063,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플(다이소)_벌크,2E016I,페이셜,2025-09-02,외주,2,80.0,외주
3VTCLOS-257,국문_OL_시카 레티놀 포어 업 세럼_30mL_1ea_벌크,2E175J,etc.,2025-10-31,외주,1,530.0,외주
3BSSMSK-001,이퀄베리＿퍼플라이스포어퓨리파잉팩클렌져_벌크,2E060J,etc.,2025-10-17,잔량,1,30.0,5층-A1
3BSSMSK-001,이퀄베리＿퍼플라이스포어퓨리파잉팩클렌져_벌크,2E060J,etc.,2025-10-17,잔량,2,40.0,5층-A1
3BSSMSK-001,이퀄베리＿퍼플라이스포어퓨리파잉팩클렌져_벌크,2E078J,etc.,2025-10-20,잔량,1,700.0,외주
3BSSMSK-001,이퀄베리＿퍼플라이스포어퓨리파잉팩클렌져_벌크,2E078J,etc.,2025-10-20,잔량,2,105.0,5층-A1
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E142J,etc.,2025-10-28,잔량,1,30.0,창고
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E142J,etc.,2025-10-28,잔량,2,25.0,창고
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E153J,etc.,2025-10-29,잔량,1,25.0,창고
3VTCCLN-004,VT 시카 마스크 클렌저_벌크,2E153J,etc.,2025-10-29,잔량,2,35.0,창고
3OLILOS-002,성분에디터 액티브 마린 아스타잔틴 캡슐 크림_벌크,2E042A,etc.,2025-01-08,생산대기,1,280.0,2층-A1
3VTCMSK-041,VT 프로그로스 너리싱 3STEP 마스크팩_3제(슬리핑)_벌크,J28Y008,사급(유상),2025-10-28,잔량(유상),1,57.5,소진
3VTCMSK-041,VT 프로그로스 너리싱 3STEP 마스크팩_3제(슬리핑)_벌크,J28Y008,사급(유상),2025-10-28,잔량(유상),2,18.0,6층-A1
3VTCMSK-028,VT 시카 콜라겐 올인원 3스텝 마스크_STEP3(크림)_벌크,D14E002,사급(유상),2025-04-14,잔량(유상),1,120.0,2층-A1
3VTCMSK-028,VT 시카 콜라겐 올인원 3스텝 마스크_STEP3(크림)_벌크,L11D004,사급(유상),2024-12-11,잔량(유상),1,130.0,2층-A1
3VTCMSK-037,VT 시카 카밍 3STEP 마스크팩_3제(슬리핑팩)_벌크,J29Y008,사급(유상),2025-10-29,잔량(유상),1,80.0,6층-A1
3VTCESS-009,일문_RE_리들S 피디알엔 플러스 리들샷 100_벌크,2E060E,etc.,2025-05-09,잔량,1,218.0,창고
3VTCESS-009,일문_RE_리들S 피디알엔 플러스 리들샷 100_벌크,2E325F,etc.,2025-07-01,잔량,1,190.0,창고
3VTCLOS-069,VT 레드부스터 리들샷 100_벌크,2E085J,etc.,2025-10-21,외주,1,240.0,외주
3VTCESS-015,일문_PD_피디알엔 플러스 리들S 300 1+1기획_일본 홈쇼핑_50ml_2ea_벌크,2E144E,etc.,2025-05-15,잔량,2,206.0,창고
3SCCPWD-001,쌔뮤 갈락토 포어 츄이 파우더 워시 50g_벌크,2E193G,etc.,2025-07-14,잔량,1,13.0,2층-A1
3SCCPWD-001,쌔뮤 갈락토 포어 츄이 파우더 워시 50g_벌크,2E193G,etc.,2025-07-14,잔량,2,20.0,2층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EI2202,사급(유상),2025-09-24,잔량(유상),1,0.0,소진
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EI2202,사급(유상),2025-09-24,잔량(유상),2,25.0,2층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,ED1803,사급(유상),2025-04-23,잔량(유상),1,0.0,소진
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,ED1803,사급(유상),2025-04-23,잔량(유상),2,33.0,6층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EH2605,사급(유상),2025-08-28,잔량(유상),1,216.0,6층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EH2605,사급(유상),2025-08-28,잔량(유상),2,219.0,6층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EH2605,사급(유상),2025-08-28,잔량(유상),3,215.0,6층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EH2605,사급(유상),2025-08-28,잔량(유상),4,218.0,6층-A1
3SCCMSK-007,쌔뮤 갈락토 포어 딥클린 2스텝 마스크 1제(지정매입)_벌크,EH2605,사급(유상),2025-08-28,잔량(유상),5,162.0,6층-A1
3OLIESS-005,성분에디터 딥콜라겐 파워 부스팅 크림 인세럼_벌크,2E040K,etc.,2025-11-07,생산대기,1,200.0,5층-A1
